,FECHA,HORA DECLARADA,RUTA,OPERADOR,TIPO_AERONAVE,PERSONAS_ABORDO,PASAJEROS A BORDO,TRIPULACION_ABORDO,CANTIDAD DE FALLECIDOS,PASAJEROS_FALLECIDOS,TRIPULACION_FALLECIDA,DESCRIPCION_ACCIDENTE,DÉCADA,AÑO
1553,1973-03-19,10:05:00,"Ben Me Thuot, South Vietnam",Air Vietnam (South Vietnam),Douglas C-54D,62,57,5,62,57.0,5.0,Crashed after an explosion in the cargo hold.,1970,1973
1554,1973-04-10,10:13:00,"Near Basel,  Switzerland",Invicta International Airlines (UK),Vickers Vanguard 952,145,139,6,108,104.0,4.0,Crashed into a forest during a snowstorm. Malfunctioning navigation equipment. Navigational error by crew.,1970,1973
1555,1973-04-12,14:50:00,"Moffett AFB, California",Military - U.S. Navy / NASA,Lockheed P-3C / Convair CV-990-30A-5,17,0,17,16,0.0,16.0,"A Navy P-3C collided with a NASA research jet as it prepared to land at Moffett Naval Air Station. A ground controller mistakenly gave both planes permission to land on the same runway and the NASA plane settled on top of the P-3, 300 ft. off the ground. Both planes crashed onto a golf course. Five aboard the P-3 and 11 aboard the Convair were killed.",1970,1973
1556,1973-05-11,04:37:00,"Near Semipalatinsk, USSR",Aeroflot,Ilyushin IL-18B,61,55,8,61,55.0,8.0,The plane disintegrated during an emergency descent and crashed 84km from Semipalatins. Collision with a foreign object causing damage to the wing.,1970,1973
1557,1973-05-18,09:38:00,"Chita, Siberia, USSR",Aeroflot,Tupolev TU-104A,81,72,9,81,72.0,9.0,The aircraft broke up at FL 300. Detonation of a bomb in the cabin being carried by a hijacker.,1970,1973
1558,1973-05-19,15:00:00,"Svay Rieng, Cambodia",Cambodia Air,Douglas C-47A,11,9,2,11,9.0,2.0,Crashed shortly after taking off after being hit by ground fire.,1970,1973
1559,1973-06-01,07:20:00,"Sao Luis, Brazil",Cruzeiro,Sud Aviation SE-210 Caravelle VIN,23,16,7,23,16.0,7.0,"While on a go-around the aircraft attained a nose up attitude, stalled and crashed. Loss of power in the No.1 engine at a critical stage of the landing.",1970,1973
1560,1973-06-03,15:29:00,"Goussainville, France",Aeroflot,Tupolev TU-144,6,0,6,6,0.0,6.0,"During a steep climb at an airshow, the airplane was observed to level off very abruptly and then begin a dive. The plane broke apart and exploded before crashing into a residential area killing 8 people and seriously injuring 60 others. The pilot, possibly startled by a close encounter with a Mirage jet photographing the TU-144, overreacted causing a compressor stall. The aircraft then went into a dive and broke apart after the aircraft's design capacity was exceeded.",1970,1973
1561,1973-06-20,22:47:00,"Near Puerto Vallarta, Mexico",Aeromexico,McDonnell Douglas DC-9-15,27,22,5,27,22.0,5.0,"The aircraft hit high ground during an approach, 32 kms from the airport.",1970,1973
1562,1973-06-30,13:39:00,"Amman, Jordan",Aeroflot,Tupolev TU-134A,85,78,8,2,0.0,2.0,"The aircraft was not able to lift off during takeoff, overshot the runway and crashed into a house bursting into flames.",1970,1973
1563,1973-07-09,19:53:00,"Nnear Kuybyshev, Russia",Aeroflot,Tupolev TU-124V,61,54,7,2,2.0,0.0,Made a forced landing after experiencing engine failure. Complete destruction of turbine and due to a design and manufacturing defect.,1970,1973
1564,1973-07-11,14:03:00,"Paris, Orly Airport, France",Varig,Boeing B-707-345C,134,117,17,123,116.0,7.0,Fire aboard the aircraft in the aft right toilet was reported and an emergency descent made. The plane was heavily damaged by fire before fire fighters could rescue passengers. Most fatalities were due to CO before rescuers could reach passengers. The fire started in the aft right toilet either from an electrical short or discarded cigarette.,1970,1973
1565,1973-07-22,22:07:00,"Off Papeete, Tahiti",Pan American World Airways,Boeing B-707-321B,79,69,10,78,68.0,10.0,"The aircraft crashed 30 seconds after takeoff from Faaa Airport into the ocean. Cause unknown.  It is possible an instrument failure diverted the crews attention during a turn. The aircraft was named ""Clipper Winged Racer.""",1970,1973
1566,1973-07-23,16:43:00,"St. Louis, Missouri",Ozark Air Lines,Fairchild-Hiller FH-227B,44,41,3,38,37.0,1.0,"The aircraft crashed after attempting to land in thunderstorms with heavy rain and high winds. After passing the outer marker, the aircraft descended below the glide slope, entered an area of heavy rain, was struck by lightning and crashed into the ground short of the runway. The aircraft's encounter with a downdraft following the captain's decision to initiate and continue an instrument approach into a thunderstorm. Lack of a timely issuance of a severe weather warning by the National Weather Service.",1970,1973
1567,1973-07-24,07:08:00,"Honolulu, HI",Air Hawaii,Volpar C45G,5,4,1,5,4.0,1.0,"The plane experienced engine faiure while taking off and crashed into the ocean. Fuel starvation. Rear auxillary tanks not serviced. Overloaded, improper center of gravity.",1970,1973
1568,1973-07-31,10:08:00,"Logan Airport, Boston, Massachusetts",Delta Air Lines,McDonnell Douglas DC-9-31,89,83,6,89,83.0,6.0,The flight crashed into a seawall during ILS approach in adverse weather conditions. The failure of the flightcrew to monitor altitude and to recognize passage of the aircraft through the approach decision height during an unstabilized precision approach conducted in rapidly changing meteorological conditions. Poor positioning of the aircraft for an approach by ATC. Questionable information presented by the flight director.,1970,1973
1569,1973-08-13,11:40:00,"Near La  Coruña, Spain",Aviaco Condor,Sud-Aviation Caravelle 10-R,85,79,6,85,79.0,6.0,"The aircraft experienced two missing landing attempts. On the third try, the crew tried to descent below minimum safe altitude to make visual contact with the ground. The right wing clipped trees and the aircraft crashed about 2 m from the runway. Attempting to land in meteorological conditions that were below minima.",1970,1973
1570,1973-08-15,14:50:00,"Don Don, Haiti",Private,Norman BN-2A-6,10,9,1,10,9.0,1.0,"While flying too low, the plane struck a mountain shrouded in clouds and located in Dondon, 21 km south of the airport. Controlled flight into terrain..",1970,1973
1571,1973-08-18,18:51:00,"Baku, Azerbaijan, USSR",Aeroflot,Antonov AN-24V,64,60,4,56,54.0,2.0,Crashed after after attemping a return to the airport for an emergency landing. Left engine failure.,1970,1973
1572,1973-08-22,11:40:00,"El Yopal, Colombia",AVIANCA,Douglas DC-3,17,14,3,16,13.0,3.0,Struck a hill in heavy fog. Flying VFR in IFR conditions.,1970,1973
1573,1973-08-27,12:45:00,"Bogota, Colombia",Aerocondor Colombia,Lockheed L-188A Electra,42,36,6,42,36.0,6.0,Crashed into El Cable Mountain after taking off in fog. Crew failed to follow departure procedures.,1970,1973
1574,1973-08-28,21:45:00,"Near Huete, Spain",Military - U.S. Air Force,Lockheed C-141A,25,17,8,24,17.0,7.0,"The aircraft was cleared to 5,000 ft. but descended to 3,000 ft. The plane hit a ridge became airborne, rolled over and crashed inverted into a ravine. The flying crew failed to follow approach procedures and descended to an unsafe altitude following a misinterpretation of the ATC clearance. A lack of crew coordination, a wrong planned approach and crew fatigue.",1970,1973
1575,1973-08-28,20:50:00,"Thirty-five miles west of Los Angeles, California",Trans World Airlines,Boeing B-707-331B,149,141,8,1,1.0,0.0,"The plane porpoised while descending to LAX. The aircraft was subjected to 2 minutes of peak acceleration forces of 2.4 g.  A combination of design tolerances in the aircraft's longitudinal control system which, under certain conditions, produced a critical relationship between control forces and aircraft response.",1970,1973
1576,1973-09-08,05:42:00,"King Cove, Alaska",World Airways,McDonnell Douglas DC-8-63F,6,3,3,6,3.0,3.0,"Hit mountain at 3,500 ft., in level flight, 15.5 miles east of airport in fog. Improper IFR operation.  Descended below MSA in mountainous terrain. The captain's deviation from approved instrument approach procedures. As a result of the deviation the flight descended into an area of unreliable navigation signals and obstructing terrain.",1970,1973
1577,1973-09-20,22:45:00,"Natchitoches, Louisiana",Private Charter,Beechcraft E18S,6,5,1,6,5.0,1.0,"The plane crashed into a tree 200 yards past the end of the runway while taking off  from Natchitoches, Louisiana Municipal Airport. A witness to the crash reported that the plane never seemed to gain any altitude. It scraped the top of a pecan tree, catching a wing and crashed to the ground. Pilot failed to see/avoid objects, obstructions. Pilot had severe coronary artery disease. Ran 3 miles from motel to airport.  May have had a heart attack. Singer Jim Croce, 30, killed.  Also killed were accompanist Maurice Muehleisen, publicist Kenny Cortese, road manager Dennis Rast, comedian George Stevens and pilot Robert Elliot. Croce's company had just completed a performance before a crowd of 2,000 at Northwest State University.",1970,1973
1578,1973-09-27,19:52:00,"Rich Mountain, Arkansas",Texas International Airlines,Convair 600,11,8,3,11,8.0,3.0,"The aircraft flew100 miles off course and struck Black Fork Mountain, 600 feet below the summit of the peak, 91 miles North of Texarkana. Heavy thunderstorms were in the area at the time. The captain's attempt to operate the flight under VFR at night without using all the navigational aids and information available to him and his deviation from the pre-planned route without adequate positioning information.",1970,1973
1579,1973-09-30,20:37:00,"Near Sverdlovsk, Russia",Aeroflot,Tupolev TU-104B,108,100,8,108,100.0,8.0,"The aircraft crashed shortly after takeoff while on a go-around. After reaching an altitude of 1,200 ft. the aircraft banked to the left which steepened until the plane began to descend and finally crashed. Malfunctioning artificial horizon.",1970,1973
1580,1973-10-02,23:36:00,"Magadan, Russia",Aeroflot,Antonov AN-12V,10,8,2,10,8.0,2.0,The cargo plane struck high ground after going off course during a go-around. Crew error.,1970,1973
1581,1973-10-13,20:18:00,"Near  Domodedovo, Russia",Aeroflot,Tupolev TU-104B,122,114,8,122,114.0,8.0,"After making a right turn, the aircraft plunged to earth from 1,500 ft.  Electrical failure of the compass and main gyro.",1970,1973
1582,1973-10-23,08:50:00,"Guanabara Bay, Brazil",VASP,NAMC YS-11A-211,65,60,5,8,8.0,0.0,"The takeoff from Santos Dumont airport was aborted after a loss of power occurred before the V1 speed was reached. Due to poor braking action, emergency brakes were applied. The pilot-in-command retracted the landing gear after it was apparent an overrun was imminent. The aircraft slid into Guanabara Bay.",1970,1973
1583,1973-11-03,09:39:00,"Boston,: Massachusetts",Pan American World Airways,Boeing B-707-321C,3,0,3,3,0.0,3.0,"Smoke in the cockpit and uncontrollable fire in the cargo plane caused by spillage of nitric acid on sawdust packing in the cargo hold. The aircraft was named ""Clipper Titian.""",1970,1973
1584,1973-11-03,16:40:00,"Near Albuquerque,  New Mexico",National Airlines,McDonnell Douglas DC-10-10,128,116,12,1,1.0,0.0,"Overspeeding of the starboard engine caused the engine to disintegrate. Pieces struck the fuselage, breaking a window, causing rapid explosive decompression and a passenger Mr. Gardner, sitting in seat 17H was sucked out of the plane.  The plane landed safely. His body was found two years later. The captain and flight engineer were experimenting with the autothrottle system by tripping the circuit breakers which supplied the instruments which measured the rotational speed of each engine's low pressure compressor. This led to engine overspeeding and destruction of the engine.",1970,1973
1585,1973-11-17,02:00:00,"Near Quang-Ngai, South Vietnam",Air Vietnam (South Vietnam),Douglas DC-3,27,24,3,27,24.0,3.0,Flew into a mountain while en route. Flying under VFR in IFR conditons.,1970,1973
1586,1973-12-07,22:29:00,"Moscow, USSR",Aeroflot,Tupolev TU-104B,75,68,7,13,11.0,5.0,The aircraft crashed after the wing touched the ground while landing short of the runway. Crew error in not executing a missed approach.,1970,1973
1587,1973-12-16,19:13:00,"Near Karacharovo, USSR",Aeroflot,Tupolev TU-124,51,45,6,51,45.0,6.0,Went into a sudden dive and crashed to the ground. A short circuit occurred in the elevator trim system.,1970,1973
1588,1973-12-17,13:00:00,"Rome, Italy",Pan American World Airways,Boeing B-707-321B,177,167,10,30,29.0,1.0,"Two phosphorus bombs were thrown into the aircraft prior to its departure. The aircraft was named ""Clipper Celestial.""",1970,1973
1589,1973-12-22,22:10:00,"Near Tetouan, Morocco",Royal Air Maroc,Sud-Aviation Caravelle VI-N,106,99,7,106,99.0,7.0,"After missing the outer marker, the aircraft continued off course and crashed into Mt. Mellaline, 20 kms from the airport at an elevation of 2,300 feet in rain. Crew error. The pilot started his final turn too far east of the runway.",1970,1973
1590,1973-12-23,22:08:00,"Lvov, Ukraine, USSR",Aeroflot,Tupolev TU-124,17,11,6,17,11.0,6.0,Crashed after takeoff. Engine failure. A defective turbine blade failed resulting in violent vibration of the engine and rupturing of a fuel line and causing an in-flight fire.,1970,1973
1591,1974-01-01,12:38:00,"Near Turin, Italy",Itavia,Fokker F-28 Fellowship 1000,42,38,4,38,35.0,3.0,Crashed 2 miles short of the runway upside down during an approach in fog and heavy rain.,1970,1974
1592,1974-01-06,18:05:00,"Johnstown, Pennsylvania",Air East,Beechcraft 99A,17,15,2,12,11.0,1.0,Crashed short of the runway.  Failed to maintain flying speed. Improper IFR operation. Premature descent below safe approach slope for reasons undetermined.,1970,1974
1593,1974-01-06,15:25:00,"Mukachevo, Ukraine",Aeroflot,Antonov AN-24V,24,18,6,24,18.0,6.0,The plane dove into the ground 100 meters behind the outer marker while on approach.  Icing of the horizontal stabilizer.,1970,1974
1594,1974-01-09,16:36:00,"Near Nevia, Colombia",SATENA,Hawker Siddeley HS 748-260,31,28,3,31,28.0,3.0,The domestic flight crashed into Mt Gabinete about 34 km northwest of Florencia while en route to Bogota.,1970,1974
1595,1974-01-10,16:30:00,"La Paz, Bolivia",TAM (Bolivia),Douglas C-54,24,21,3,24,21.0,3.0,The non-scheduled passenger flight crashed while en route to La Paz. Wreckage never found.,1970,1974
1596,1974-01-17,13:15:00,"Cigorodo, Colombia",Cessnyca,Douglas DC-3A,14,11,3,14,11.0,3.0,Crashed after climbing to cruising altitude.,1970,1974
1597,1974-01-26,07:30:00,"Izmir, Turkey",Turkish Airlines (THY),Fokker F-28 Fellowship 1000,73,68,5,66,62.0,4.0,"The plane yawed left, pitched nose down and crashed shortly after taking off. Icing. Frost on the wings along with over rotation resulted in a stall. Crew error.",1970,1974
1598,1974-01-30,23:41:00,"Pago Pago, American Samoa",Pan American World Airways,Boeing B-707-321B,101,91,10,97,87.0,10.0,"The aircraft crashed and burned while making ILS approach to Pago Pago International Airport. There was a failure of the crew to correct an excessive rate of descent causing the aircraft to fly into trees short of the runway. Windshear, sensory illusory, inadequate monitoring of flight instruments, and the failure of the crew to call out descent rate. Most aboard the aircraft were not injured by the crash but succumbed to fire and panic afterwards. The aircraft was named ""Clipper Raidant.""",1970,1974
1599,1974-02-02,21:30:00,"Near Honolulu, HI",Pan American World Airways,Boeing B-747,298,279,19,1,1.0,0.0,A 16 month old child was asphyxiated by a seat belt while unattended.,1970,1974
1600,1974-02-09,17:30:00,"Near Souda, Crete",Military - West German Air Force,Transall C-160D,40,35,5,35,30.0,5.0,"The twin-engine turboprop hit a mountain at an elevation of 5,000 ft. during an ILS approach.",1970,1974
1601,1974-03-03,11:41:00,"Near Ermenonville, France",Turkish Airlines (THY),McDonnell Douglas DC-10-10,346,335,11,346,335.0,11.0,"The aircraft crashed shortly after takeoff from Orly Airport in Paris, France. Climbing through FL110 the aircraft lost the rear cargo door, resulting in explosive decompression and damage to the cabin floor and control cables. The aircraft lost control and crashed in a forest at a high rate of speed. The service subcontractor and the flight engineer neglected to check the locking mechanism through a recently installed viewport to verify the door was latched properly. In addition, although a service bulletin stipulated that the locking pin should be extended, it was mistakenly shortened causing the latch to release after the cabin was pressurized. On June 12, 1972, an American Airlines DC-10 lost its cargo door shortly after taking off from Detroit ,Michigan. Using mainly engine thrust the crew was able to land safely. The cause was a defect in the latching mechanism on the door.",1970,1974
1602,1974-03-13,19:28:00,"Bishop, California",Sierra Pacific Airlines,Convair CV-440,36,32,4,36,32.0,4.0,"The aircraft crashed into Poleta Ridge, in the foothills of  the White Mountains at 6,100 ft.  The Wolper Productions Inc. movie crew was being flown from Bishop to Burbank. The flight was being conducted under VFR conditions. It could not be determined why the crew did not maintain a safe distance from hazardous terrain.",1970,1974
1603,1974-03-15,08:07:00,"Tehran, Iran",Sterling Airways,Aerospatiale Caravelle 10B3,96,92,4,15,15.0,0.0,Collapse of right main landing gear while taxing ruptured the wing fuel tank causing a fire.,1970,1974
1604,1974-04-04,02:35:00,"Francistown, Botswana",Wenela Air Services,Douglas DC-4,84,80,4,78,75.0,3.0,The aircraft crashed into trees and burst into flames after the engines overheated resulting in loss of power. The plane was carrying gold miners. Fuel contamination. Jet A fuel contaminated the aviation gasoline.,1970,1974
1605,1974-04-22,15:26:00,"Grogak, Bali, Indonesia",Pan American World Airways,Boeing B-707-321C,107,96,11,107,96.0,11.0,"The aircraft was on a flight from Hong Kong to Denpassar, Bali.  While on approach, the plane crashed into Mt. Mesehe at 4,000 ft. killing all aboard. Premature execution of a right hand turn to join the 263 degrees outbound track which was based on the indication given by only one of the ADFs while the other one was still in steady condition. External or internal interference causing an incorrect indication from the automatic direction finder. The aircraft was named ""Clipper Climax.""",1970,1974
1606,1974-04-27,18:07:00,"Near Leningrad, USSR",Aeroflot,Ilyushin IL-18B,109,102,7,109,102.0,7.0,The aircraft crashed after report of a heavy vibration and fire in the No. 4 engine. Structural failure of turbine disc in No. 4 the engine.,1970,1974
1607,1974-04-30,13:47:00,"Galveston, Texas",Houston Metro Airlines,Beechcraft 99,12,10,2,6,5.0,1.0,Crashed during takeoff. Inadequate preflight preparation and planning. Lack of familarity with aircraft.  Misused  flaps. Gust lock engaged.,1970,1974
1608,1974-05-02,19:30:00,"Banos, Ecuador",Aero Taxis Equatorianos,Douglas C-47,24,21,3,22,19.0,3.0,Struck a mountain shortly after takeoff. Failure to climb to the minimum safety altitude. Overconfidence of the crew. Distraction by a tourist guide in the cockpit.,1970,1974
1609,1974-05-06,22:22:00,"Nurnberg, Germany",Fragtflug,Douglas DC-6A,3,0,3,3,0.0,3.0,The cargo plane struck trees and crashed while on final approach. Icing. Pilot blood alcohol above normal.,1970,1974
1610,1974-05-23,16:55:00,"Springfield, Illinois",Saturn Airways,Lockheed L-100-30 Hercules,3,1,2,3,1.0,2.0,"While en route the left wing separated from the aircraft. The plane crashed out of contol. The undiscovered, preexisting fatigue cracks, which reduced the strength of the left wing to the degree that it failed as a result of positive aerodynamic loads created by moderate turbulence.",1970,1974
1611,1974-05-23,22:05:00,"Kiev, Ukraine, USSR",Aeroflot,Yakovlev YAK-40,29,25,4,29,25.0,4.0,Crashed during approach. Incapacitation of the crew due to carbon monoxide.,1970,1974
1612,1974-06-08,17:30:00,"Monte San Isidro,  Colombia",Aerolineas TAO,Vickers Viscount 785D,44,38,6,44,38.0,6.0,The aircraft lost control and crashed after a tailplane failure. Failure in-flight of the tailplane spar causing the left tailplane and elevator the detach.,1970,1974
1613,1974-06-30,13:00:00,"Umiat, Alaska",Alaska Helicopter - Air Taxi,Fairchild Hiller FH1100,5,4,1,5,4.0,1.0,Crashed after the fatigue fracture of the swachplate assembly. Inadequate maintenance and inspection.,1970,1974
1614,1974-07-24,09:45:00,"Bogota, Colombia",Aeronorte Colombia,Douglas DC-4,3,0,3,3,0.0,3.0,"The cargo plane crashed into a mountain at 7,000 ft. shortly after taking off.",1970,1974
1615,1974-08-12,14:50:00,"Cali, Colombia",AVIANCA,Douglas C-47-DL,27,24,3,27,24.0,3.0,The crew became lost in rainy weather and crashed into Trujillo Mountain. Wreckage found 2 months later.,1970,1974
1616,1974-08-14,09:20:00,"Margarita Island, Venezuela",Linea Aeropostal Venezolana,Vickers Viscount 749,49,45,4,49,45.0,4.0,"In accordance with ATC, the crew divert to Cumaná Airport and while completing a turn to change heading, the plane struck the peak La Gloria located10 km northeast of Porlamar Airport.",1970,1974
1617,1974-09-08,11:40:00,"Ionian Sea , off Kefallinia, Greece",Trans World Airlines,Boeing B-707-331B,88,79,9,88,79.0,9.0,"The aircraft pitched up, rolled to the left, went into a steep spiral dive and crashed into the sea. Detonation of an explosive device in the aft cargo hold. A Palestinian organization claimed responsibility. The blast probably buckled the cabin floor damaging the elevator and rudder controls.",1970,1974
1618,1974-09-11,07:34:00,"Near Charlotte, North Carolina",Eastern Air Lines,McDonnell Douglas DC-9-31,82,78,4,70,68.0,2.0,The aircraft flew too low and struck trees 3.3 miles short of the runway during an approach in fog. Flightcrew's lack of altitude awareness at critical points during the approach due to poor cockpit discipline in that the crew did not follow prescribed procedures. The crewmembers were preoccupied with conversations having nothing to do with the operating the aircraft while conducting an instrument approach. The aircraft was 50 knots too fast and 500 feet below the final approach fix.,1970,1974
1619,1974-09-15,11:00:00,"Phan Rang, South Vietnam",Air Vietnam (South Vietnam),Boeing B-727-121C,75,67,8,75,67.0,8.0,"Hijacked. Detonation of two hand grenades in the passenger compartment after the pilot refused to fly to Hanoi, North Vietnam. The aircraft attempted to land, executed a missed approach and dove into the ground from a height of 1,000 feet.",1970,1974
1620,1974-10-19,11:15:00,"Calapan, Philippines",Mabuhay Airways,Douglas DC-3,8,4,4,1,0.0,1.0,"One hour after takeoff, cruising at FL85, the No.1 engine had to be shut down due to severe vibrations and backfiring. The crew chose to divert to Calapan. At 900 ft over Calapan, the controls began to shake and control of the aircraft  was lost. The aircraft was ditched 700 feet offshore.",1970,1974
1621,1974-10-27,23:36:00,"Old Man's Camp, Alaska",Alaska International Air,Lockheed L-100 Hercules,4,0,4,4,0.0,4.0,"While en route, the cargo plane lost a wing and spiraled into the ground. Failure of the right wing in fight. Fatigue fracture. Inadequate maintenance and inspection.",1970,1974
1622,1974-11-01,14:56:00,"Near Surgut, Russia",Aeroflot,Antonov An-2 / Mil Mi-8T,38,32,6,38,32.0,6.0,Midair collision between a An-2 and a Mil Mi-8T in poor weather.,1970,1974
1623,1974-11-20,07:54:00,"Near Nairobi, Kenya",Lufthansa,Boeing B-747-130,157,144,13,59,55.0,4.0,The aircraft stalled and crashed during takeoff. The wing flaps were not extended. First fatal Boeing 747 accident to occur.,1970,1974
1624,1974-11-20,09:30:00,"Soddu, Ethiopia",Ethiopian Airlines,Douglas DC-3,24,21,3,2,0.0,2.0,Stalled  on takoff and crashed.,1970,1974
1625,1974-12-01,11:10:00,"Near Berryville, Virginia",Trans World Airlines,Boeing B-727-231,92,85,7,92,85.0,7.0,The plane crashed into high terrain at approximately 270 mph during an approach to Dulles Airport. The crew's decision to descend before aircraft reached the approach segment. The crew ignored high terrain marked on the en route chart and continued their descent. Lack of clarity in ATC procedures. The issuance of the approach clearance when the flight was 44 miles from the airport on an unpublished route without clearly defined minimum altitudes. Inadequate depiction of altitude restrictions on the profile view of the approach chart for the VOR/DME approach to Runway 12 at Dulles International Airport.,1970,1974
1626,1974-12-01,19:26:00,"Bear Mountain,  Thiells, New York",Northwest Orient Airlines,Boeing B-727-251,3,0,3,3,0.0,3.0,"The aircraft stalled in a climb from which recovery was not effected. The loss of control of the aircraft because the flight crew failed to recognize and correct the aircraft's high-angle-of-attack, low-speed stall and its descending spiral. The stall was precipitated by the flight crew's improper reaction to erroneous airspeed and Mach indications which had resulted from a blockage of the pitot heads by atmospheric icing. Contrary to standard operational procedures, the flight crew had not activated the pitot head heaters.",1970,1974
1627,1974-12-04,04:58:00,"Irkutsk, Russia",Aeroflot,Antonov An-2 / Antonov An-12,18,11,7,13,11.0,2.0,The An-2 crashed after colliding with Antonov 12 over Irkutsk airport. The ATC cleared the An-2 for takeoff crossing An-12s flight path. The An-12 landed safely. Eleven passengers and 2 crew killed on the An-2,1970,1974
1628,1974-12-04,22:15:00,"Near Maskeliya, Sri Lanka",Martinair Holland NV,McDonnell Douglas DC-8-55F,191,182,9,191,182.0,9.0,"The aircraft impacted Mount Anjimalai at 4,355 ft. the during approach. The crew descended below a safe altitude due to a position error resulting from misinterpretation of Doppler and weather radar.",1970,1974
1629,1974-12-14,11:01:00,"Bukhara, Uzbekistan",Aeroflot,Yakovlev 40,19,15,4,7,7.0,0.0,Overran the runway and hit a dyke while attempting to take off. Elevator lock not removed.,1970,1974
1630,1974-12-22,13:30:00,"Maturin, Venezuela",Aerovias Venezolanas SA (Venezuela),McDonnell Douglas DC-9-14,77,71,6,77,71.0,6.0,"Four minutes after takeoff from runway 05 at Maturin Airport, while climbing , the plane struck the slope of Mt Zamuro,  20 km from the airport.",1970,1974
1631,1975-01-08,08:30:00,"Near Doncello, Colombia",SATENA,Douglas DC-3,21,17,4,21,17.0,4.0,Crashed and burned in mountains while en route. Improper flight planning by proceeding in mountainous terrain during adverse weather conditions which had reduced visibility along the route.,1970,1975
1632,1975-01-09,16:07:00,"Whittier, California",Golden West Airlines / Private,de Hav Can. DHC-6 Tw Otter 100/ Cessna,14,10,4,14,10.0,4.0,"Midair collision between a DHC-6 and a Cessna 150 at 2,200 feet while approaching Ontario Airport. Twelve aboard the Otter  and two aboard the Cessna killed. The failure of both flight crews to see the other aircraft in sufficient time to initiate evasive action. This was because of the position of the sun, the closure angle of the aircraft and the necessity of the Twin Otter's flight crew to acquire visual contact with radar reported traffic directly ahead of them.",1970,1975
1633,1975-01-15,17:21:00,"Budapest, Hunary",Malev Hungarian Airlines,Ilyushin IL-18V,9,0,9,9,0.0,9.0,"The aircraft crashed into the ground 1,360 meters past the runway threshold and 120 meters to the left of the center line while attempting to land at Ferihegy airport. Poor weather, fog, nightime conditions, lack of crew coordination and possible spatial disorientation contributed to the accident.",1970,1975
1634,1975-01-30,18:50:00,"Istanbul, Turkey",Turkish Airlines (THY),Fokker F-28 Fellowship 1000,42,38,4,42,38.0,4.0,"After an electrical failure at the airport the aircraft initiated a go-around. Because another aircraft was about to take off, an extended downwind leg was flown. The aircraft crashed into the Sea of  Marmara while in the process of making the second approach. It is though the pilot-in-command may lost control of the airplane after suffering  spatial disorientation while flying at night under VFR mode over the Marmara Sea without any visual reference points.",1970,1975
1635,1975-02-01,08:58:00,"Houston, Texas",Horizon Properties,Douglas DC-3C,16,14,2,5,3.0,2.0,"The flight was diverted to Houston because weather at Huntsville was below minima.  An ILS approach was abandoned due to intermittent operation of the aircraft ILS localizer receiver instruments. The crew then tried an approach with Houston TRACON monitoring on surveillance radar. The DC-3 descended too low until the left wing collided with a  high power line tower, located 1.8 miles short of the runway. Fifteen feet of wing was torn off and the aircraft continued another 650 feet before striking the ground inverted.  Improper in-flight decisions or planning and improper IFR operation.",1970,1975
1636,1975-02-03,23:10:00,"Manila, Philippines",Philippine Air Lines,Hawker Siddeley HS-748 2,33,29,4,33,29.0,4.0,The No. 2 engine caught fire shortly after takeoff.  The aircraft crashed into a rice field 3 miles short of the runway while making an emergency approach back to the airport.,1970,1975
1637,1975-02-09,17:30:00,"Souda, Crete",Military - Deutsche Luftwaffe,Transall C-160,40,35,5,40,35.0,5.0,"Slammed into a mountain at an altitude of 5,000 ft. during an approach to Canea in a snow shower.",1970,1975
1638,1975-02-16,19:00:00,"Fairbanks, Alaska",Pacific Alaska Airlines,Douglas DC-6BF,3,0,3,3,0.0,3.0,The cargo plane lost three of four engines on takeoff. The crew tried to return to the airport but crashed short of the runway. Fuel contamination. Water in fuel.,1970,1975
1639,1975-02-22,22:12:00,"Medellin, Colombia",Aerocondor,Canadair CL-44,5,0,5,5,0.0,5.0,Minutes after taking off in a rainstorm the right wing struck a tree. The crew lost control of the plane and crashed.,1970,1975
1640,1975-02-27,06:33:00,"Near Sao Paulo, Brazil",VASP,Embraer 110C Bandeirante,15,13,2,15,13.0,2.0,"The plane crashed into houses after taking off and burst into flames. The plane had engine trouble, attempted to return to the airport when it crashed into the houses.",1970,1975
1641,1975-03-12,18:30:00,"Pleiku, South Vietnam",Air Vietnam (South Vietnam),Douglas DC-4,26,20,6,26,20.0,6.0,Shot down by a hand-held surface-to-air missile by North Vietnamese forces 25 miles SW of Pleiku.,1970,1975
1642,1975-03-16,13:40:00,"Near Barito, Argentina",Military - Argentine Air Force,Fokker F-27 Friendship 400M,55,50,5,55,50.0,5.0,The aircraft struck a mountain while preparing for an ILS approach in poor weather. Crew error. Crew descended below the minimum safe altitude before knowing their position.,1970,1975
1643,1975-03-18,10:04:00,"Near Terney, Russia",Aeroflot,Antonov An-2,12,10,2,7,6.0,1.0,"Crashed during climbout. The crew failed to prepare the flight properly as the total weight of the aircraft was 449 kilos above the MTOW and the CofG was out of the enveloppe, too far aft. This caused the airplane to enter a high angle of attack during the initial climb and to stall and crash.",1970,1975
1644,1975-03-20,23:15:00,"Near Quilcene, Washington",Military - U.S. Air Force,Lockheed C-141A (L.300),16,12,4,16,12.0,4.0,The aircraft struck a ridge of  Mt. Constance in Olympic National Park. Faulty clearance by the ATC after misidentifying the C-141 as another aircraft.,1970,1975
